채용글번호,지원금/보험,급여제도,선물,교육/생활,근무 환경,조직문화,출퇴근,리프레시
42977494,"건강검진, 업무활동비 지급","우수사원포상, 퇴직금, 성과급, 4대 보험","명절선물/귀향비, 장기근속 선물","점심식사 제공, 간식 제공, 음료제공(차, 커피), 점심시간 연장제도","휴게실, 회의실, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 반려동물 동반출근",,"연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 휴가비지원, 포상휴가"
42851126,"각종 경조사 지원, 복지카드/포인트","장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 자격증수당, 장기근속수당, 4대 보험","명절선물/귀향비, 생일선물/파티, 임신/출산 선물, 생일자 조기퇴근","우수사원시상식, 워크샵, 자격증취득지원, 사내동호회 운영, 간식 제공","회의실, 공기청정기","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장","야간교통비지급, 탄력근무제","연차, 여름휴가, 경조휴가제, 근로자의 날 휴무, 휴가비지원, 포상휴가"
43015573,,"퇴직연금, 우수사원포상, 퇴직금, 4대 보험",,"도서구입비지원, 점심식사 제공, 저녁식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피)","공기청정기, 전용 사옥, 사무용품 지급",자유복장,"주차장제공, 회사차량 있음, 탄력근무제, 주 40시간제 시행","연차, 여름휴가, 반차"
43015542,"건강검진, 문화생활비","상여금, 우수사원포상, 퇴직금, 성과급, 4대 보험",명절선물/귀향비,"창립일행사, 워크샵, 신입사원교육(OJT), 구내식당(사원식당), 점심식사 제공, 식비 지원, 음료제공(차, 커피)","회의실, 공기청정기, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용","기숙사 운영, 주차비지원, 회사차량 있음","연차, 반차, 창립일휴무, 근로자의 날 휴무"
42722162,"각종 경조사 지원, 체력단련실운영","퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티, 크리스마스 선물, 결혼기념일선물, 장기근속 선물","워크샵, 신입사원교육(OJT), 도서구입비지원, 교육비 지원, 자기계발비 지원, 간식 제공, 식비 지원, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 카페테리아, 문턱 없음, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",,"연차, 여름휴가, 반차, Refresh휴가, 근로자의 날 휴무, 포상휴가"
42806972,각종 경조사 지원,"퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",,,자회사 제품할인,,,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가"
43012993,각종 경조사 지원,"상여금, 퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티, 도서 무제한 제공, 웰컴키트 지급","창립일행사, 워크샵, 도서구입비지원, 자격증취득지원, 간식 제공, 식비 지원, 음료제공(차, 커피), 신규입사자 멘토 제도","휴게실, 회의실, 공기청정기, 게임기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장",탄력근무제,"연차, 여름휴가, 경조휴가제, 반차, 패밀리데이"
43012754,각종 경조사 지원,"상여금, 퇴직금, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티, 도서 무제한 제공, 웰컴키트 지급","창립일행사, 워크샵, 도서구입비지원, 자격증취득지원, 간식 제공, 식비 지원, 음료제공(차, 커피), 신규입사자 멘토 제도","휴게실, 회의실, 공기청정기, 게임기, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장",탄력근무제,"연차, 여름휴가, 경조휴가제, 반차, 패밀리데이"
43012294,,"퇴직연금, 인센티브제, 상여금, 4대 보험",,워크샵,"회의실, 노트북, 사무용품 지급","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",주차장제공,"연차, 여름휴가, 반차, Refresh휴가, 포상휴가"
42836508,각종 경조사 지원,"퇴직연금, 장기근속자 포상, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티","워크샵, 신입사원교육(OJT), 간식 제공, 음료제공(차, 커피), 우리사주제도","휴게실, 회의실",자유복장,,"연차, 반차"
43011043,건강검진,"인센티브제, 퇴직금, 4대 보험",생일선물/파티,"워크샵, 직무능력향상교육, 도서구입비지원, 자격증취득지원, 교육비 지원, 자기계발비 지원, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 식비 지원, 음료제공(차, 커피)","회의실, 공기청정기, 노트북","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",,"연차, 반차"
43009563,,"퇴직금, 4대 보험",,,,,,
42625687,각종 경조사 지원,"장기근속자 포상, 스톡옵션, 퇴직금, 야근수당, 4대 보험","명절선물/귀향비, 생일자 조기퇴근","점심식사 제공, 간식 제공, 음료제공(차, 커피)",,"수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 문화 회식",주 40시간제 시행,"연차, 경조휴가제, 반차"
43002464,,"인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",,,,,,
42972702,,"퇴직연금, 4대 보험","명절선물/귀향비, 생일선물/파티","도서구입비지원, 교육비 지원",,"수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장","주차비지원, 탄력근무제, 주 40시간제 시행","연차, 경조휴가제, 반차, 근로자의 날 휴무, 시간제 연차"
42988104,,"인센티브제, 상여금, 퇴직금, 4대 보험",,점심식사 제공,,"수평적 조직문화, 자유복장",탄력근무제,연차
42988090,,"인센티브제, 상여금, 퇴직금, 4대 보험",,점심식사 제공,,"수평적 조직문화, 자유복장",탄력근무제,연차
42715815,,"인센티브제, 상여금, 퇴직금, 4대 보험",,,,,,
42731309,,"상여금, 퇴직금, 4대 보험",명절선물/귀향비,,,"회식강요 안함, 야근강요 안함, 자유복장",주 52시간제 준수,"연차, 여름휴가, 반차, 근로자의 날 휴무"
42978895,"건강검진, 각종 경조사 지원","우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 자기계발비 지원, 사내동호회 운영, 간식 제공, 식비 지원, 음료제공(차, 커피)","회의실, 카페테리아, 게임기, 자회사 제품할인, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장",,"연차, 여름휴가, 반차, 근로자의 날 휴무, 휴가비지원, 산전 후 휴가"
42946871,"건강검진, 각종 경조사 지원, 단체 상해보험, 체력단련실운영","퇴직연금, 4대 보험",,"워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 아침식사 제공, 간식 제공","수유실, 사내 어린이집 운영, 휴게실, 카페테리아, 건물 내 경사로, 장애인 전용주차장, 사원증, 사무용품 지급",자유복장,"통근버스 운행, 야간교통비지급, 주차장제공","연차, 여름휴가, 경조휴가제, 근로자의 날 휴무, 산전 후 휴가"
42969601,,4대 보험,,,,,,
42717232,,"스톡옵션, 퇴직금, 4대 보험","명절선물/귀향비, 생일자 조기퇴근","교육비 지원, 자기계발비 지원, 간식 제공, 음료제공(차, 커피)","카페테리아, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장",주 40시간제 시행,"연차, 경조휴가제, 반차, 산전 후 휴가, 남성출산휴가, 보건휴가, 시간제 연차"
42785989,"건강검진, 직원대출제도","장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 장기근속수당, 4대 보험",명절선물/귀향비,"워크샵, 도서구입비지원, 점심식사 제공, 간식 제공, 음료제공(차, 커피)",회의실,"야근강요 안함, 자유복장, 자유로운 연차사용",,"연차, 경조휴가제, 반차, 근로자의 날 휴무"
42967862,,"인센티브제, 퇴직금, 4대 보험",,,,,,
42918321,건강검진,"퇴직연금, 인센티브제, 퇴직금, 휴일(특근)수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티","자기계발비 지원, 저녁식사 제공, 사내동호회 운영, 식비 지원, 음료제공(차, 커피)","휴게실, 회의실, 노트북, 사원증, 사무용품 지급",자유복장,야간교통비지급,"연차, Refresh휴가, 창립일휴무, 육아휴직"
42696765,"의료비지원(본인), 각종 경조사 지원","퇴직금, 야근수당, 연차수당, 4대 보험",,"음료제공(차, 커피)","회의실, 공기청정기, 노트북","회식강요 안함, 야근강요 안함, 자유복장, 캐주얼데이, 자유로운 연차사용",주 52시간제 준수,"연차, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가"
42901342,건강검진,"퇴직금, 4대 보험",,"창립일행사, 워크샵, 신입사원교육(OJT), 도서구입비지원, 멘토링제도, 교육비 지원, 점심식사 제공, 저녁식사 제공, 식비 지원, 음료제공(차, 커피)","회의실, 노트북","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",,"연차, 창립일휴무, 근로자의 날 휴무, 보건휴가"
42943845,,"퇴직연금, 우수사원포상, 성과급, 4대 보험",,"직무능력향상교육, 외국어 교육 지원","회의실, 공기청정기, 카페테리아, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 님/닉네임 문화",,"여름휴가, 반차, 근로자의 날 휴무, 포상휴가, 산전 후 휴가"
42959913,건강검진,4대 보험,,"도서구입비지원, 교육비 지원",,,"차량유류비지급, 야간교통비지급, 회사차량 있음","연차, 경조휴가제, 근로자의 날 휴무, 산전 후 휴가, 육아휴직"
42558391,건강검진,"퇴직연금, 인센티브제, 우수사원포상, 4대 보험","명절선물/귀향비, 생일선물/파티, 크리스마스 선물","신입사원교육(OJT), 도서구입비지원, 교육비 지원, 점심식사 제공, 저녁식사 제공, 간식 제공, 음료제공(차, 커피), 점심시간 연장제도","휴게실, 수면실, 회의실, 공기청정기, 안마실/안마의자","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용","탄력근무제, 주 52시간제 준수","연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 휴가비지원, 육아휴직, 패밀리데이"
42955431,"건강검진, 의료비지원(본인), 각종 경조사 지원, 의료비지원(가족), 통신비 지원, 자녀학자금","장기근속자 포상, 우수사원포상, 퇴직금, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 도서 무제한 제공","신입사원교육(OJT), 교육비 지원, 식비 지원","휴게실, 회의실, 공기청정기, 노트북, 사원증, 사무용품 지급, 최고 성능 컴퓨터","노조/노사협의회, 수평적 조직문화, 자유복장, 자유로운 연차사용","야간교통비지급, 주 52시간제 준수","연차, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가"
42954995,,"퇴직금, 4대 보험",,"워크샵, 점심식사 제공, 음료제공(차, 커피)",노트북,,,
42952960,건강검진,"퇴직금, 4대 보험",,"구내식당(사원식당), 점심식사 제공, 간식 제공, 음료제공(차, 커피)","사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 칼퇴근 보장",주 52시간제 준수,"연차, 여름휴가, 반차"
42940637,,"스톡옵션, 4대 보험",,"도서구입비지원, 멘토링제도, 외국어 교육 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 카페테리아","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용","탄력근무제, 자율 근무제","연차, 반차"
42687094,"건강검진, 각종 경조사 지원, 통신비 지원","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 장기근속수당, 4대 보험","명절선물/귀향비, 생일선물/파티, 결혼기념일선물","우수사원시상식, 워크샵, 신입사원교육(OJT), 도서구입비지원, 교육비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 아침식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 카페테리아, 사원증, 사무용품 지급","수평적 조직문화, 자유복장",,"연차, 반차, 창립일휴무, 근로자의 날 휴무, 육아휴직"
42691537,복지카드/포인트,퇴직금,,,,"회식강요 안함, 자유복장, 반려동물 동반출근",,"연차, 경조휴가제, 반차, 근로자의 날 휴무"
42934670,"건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 의료비지원(가족), 통신비 지원, 선택적복리후생, 자녀학자금","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 4대 보험","명절선물/귀향비, 창립일선물지급","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 저녁식사 제공, 사내동호회 운영, 음료제공(차, 커피)","휴게실, 수면실, 회의실, 카페테리아, 게임기, 사무용품 지급",자유복장,"차량유류비지급, 야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 휴양시설 제공"
42933446,"건강검진, 의료비지원(본인), 각종 경조사 지원, 무료진료지정병원, 문화생활비","상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 신입사원교육(OJT), 직무능력향상교육, 자기계발비 지원, 사내동호회 운영, 음료제공(차, 커피)",휴게실,"회식강요 안함, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장",회사차량 있음,"연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 보건휴가"
42933397,"건강검진, 의료비지원(본인), 각종 경조사 지원, 무료진료지정병원, 문화생활비","상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 휴일(특근)수당, 연차수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 신입사원교육(OJT), 직무능력향상교육, 자기계발비 지원, 사내동호회 운영, 음료제공(차, 커피)",휴게실,"회식강요 안함, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장",회사차량 있음,"연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 보건휴가"
42730347,"건강검진, 각종 경조사 지원, 해외여행 지원, 자녀학자금","퇴직연금, 상여금, 퇴직금, 성과급, 4대 보험",창립일선물지급,"직무능력향상교육, 사내동호회 운영","회의실, 전용 사옥",,,"연차, 반차, 산전 후 휴가, 육아휴직"
42761303,"건강검진, 의료비지원(본인), 각종 경조사 지원, 자녀학자금","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 직책수당, 4대 보험",,"우수사원시상식, 워크샵, 식비 지원","회의실, 공기청정기, 장애인 화장실, 사무용품 지급","노조/노사협의회, 야근강요 안함",,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직"
42908378,,"퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 성과급, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험",명절선물/귀향비,"신입사원교육(OJT), 직무능력향상교육, 교육비 지원, 자기계발비 지원, 점심식사 제공, 저녁식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피), 해외주재원 제도","휴게실, 회의실, 공기청정기, 카페테리아, 사무용품 지급","자유복장, 자유로운 연차사용, 님/닉네임 문화","탄력근무제, 재택근무","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 창립일휴무, 근로자의 날 휴무, 포상휴가, 보건휴가, 패밀리데이, 시간제 연차"
42767312,"건강검진, 각종 경조사 지원, 본인학자금","장기근속자 포상, 우수사원포상, 퇴직금, 직책수당, 자격증수당, 4대 보험","명절선물/귀향비, 생일선물/파티, 장기근속 선물","창립일행사, 워크샵, 신입사원교육(OJT), 도서구입비지원, 사이버연수원운영, 교육비 지원, 자기계발비 지원, 저녁식사 제공, 사내동호회 운영, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 노트북, 콘도/리조트 이용권, 사무용품 지급","수평적 조직문화, 자유복장, 자유로운 연차사용","야간교통비지급, 회사차량 있음","연차, 경조휴가제, 근로자의 날 휴무, 육아휴직"
42899811,"건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 단체 상해보험, 선택적복리후생, 복지카드/포인트","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 성과급, 휴일(특근)수당, 연차수당, 자격증수당, 장기근속수당, 가족수당, 4대 보험",,"직무능력향상교육, 도서구입비지원, 교육비 지원, 자기계발비 지원","회의실, 카페테리아, 전용 사옥, 사내 정원, 스마트기기, 노트북, 사원증, 자회사 제품할인, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 자유복장, 님/닉네임 문화","주택자금 융자, 탄력근무제, 재택근무","연차, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직, 남성출산휴가, 휴양시설 제공"
42552970,"건강검진, 각종 경조사 지원, 통신비 지원","인센티브제, 장기근속자 포상, 퇴직금, 장기근속수당, 4대 보험","명절선물/귀향비, 생일선물/파티, 장기근속 선물","도서구입비지원, 자격증취득지원, 교육비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 카페테리아, 장애인 전용주차장, 문턱 없음, 스마트기기, 사무용품 지급, 안마실/안마의자","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 출산 장려","야간교통비지급, 주차비지원","연차, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가, 패밀리데이"
42542392,,"인센티브제, 장기근속자 포상, 스톡옵션, 퇴직금, 성과급, 휴일(특근)수당, 장기근속수당, 4대 보험","명절선물/귀향비, 생일선물/파티","워크샵, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)",노트북,"회식강요 안함, 야근강요 안함, 자유복장",,"연차, 여름휴가, 경조휴가제, 근로자의 날 휴무"
42897442,,"퇴직금, 연차수당, 4대 보험",명절선물/귀향비,"우수사원시상식, 워크샵, 저녁식사 제공, 간식 제공","휴게실, 노트북","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 칼퇴근 보장",자율 근무제,"연차, 여름휴가, 반차, Refresh휴가"
42884740,"건강검진, 의료비지원(본인), 각종 경조사 지원, 주요 제품 직원 할인","퇴직연금, 성과급, 4대 보험",웰컴키트 지급,"창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구입비지원, 교육비 지원, 간식 제공, 식비 지원, 음료제공(차, 커피)","공기청정기, 노트북, 사원증, 자회사 제품할인, 사무용품 지급","자유복장, 문화 회식","야간교통비지급, 주 52시간제 준수","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 산전 후 휴가"
42615448,"건강검진, 각종 경조사 지원, 업무활동비 지급, 문화생활비, 통신비 지원","퇴직연금, 인센티브제, 우수사원포상, 4대 보험",명절선물/귀향비,"워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 자기계발비 지원, 사내동호회 운영","노트북, 사무용품 지급",,"차량유류비지급, 야간교통비지급, 주차비지원","여름휴가, 경조휴가제, 포상휴가, 산전 후 휴가"
42862475,"건강검진, 각종 경조사 지원, 문화생활비, 복지카드/포인트","퇴직연금, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 휴일(특근)수당, 연차수당, 장기근속수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티, 도서 무제한 제공, 임신/출산 선물, 장기근속 선물","창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 도서구입비지원, 교육비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 간식 제공, 음료제공(차, 커피), 해외 워크샵, 가족 초청 행사, 신규입사자 멘토 제도","휴게실, 수면실, 회의실, 공기청정기, 노트북, 사무용품 지급, 스탠딩 책상","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 문화 회식","회사차량 있음, 주거비 지원, 주 40시간제 시행","연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 휴가비지원, 남성출산휴가"
42853538,각종 경조사 지원,퇴직연금,"명절선물/귀향비, 생일선물/파티, 임신/출산 선물, 생일자 조기퇴근","워크샵, 도서구입비지원, 간식 제공, 음료제공(차, 커피)","공기청정기, 노트북, 사원증","수평적 조직문화, 자유복장, 자유로운 연차사용, 님/닉네임 문화",,"연차, 경조휴가제, 반차"
42851967,각종 경조사 지원,"퇴직금, 4대 보험",생일선물/파티,"워크샵, 점심식사 제공",,"회식강요 안함, 야근강요 안함, 자유로운 연차사용",,"연차, 경조휴가제, 반차, 근로자의 날 휴무"
